index,year,title,photographs,discription,image
1,1902,震旦学院创立,马相伯照片,马相伯倾其家产创办震旦学院，奠定复旦大学前身。,1.png
2,1902,震旦学院创立,震旦学院老照片,马相伯倾其家产创办震旦学院，奠定复旦大学前身。,2.png
3,1912,孙中山拨款复校,孙中山与复旦相关照片,孙中山先生拨款一万元帮助复旦复校，校址迁至徐家汇李鸿章公祠。,3.png
4,1919,复旦师生参与五四运动,五四运动相关照片,复旦学生积极参与爱国运动，邵力子敲响上海“五四第一钟”。,4.png
5,1920,陈望道翻译《共产党宣言》并任教复旦,陈望道与《共产党宣言》,陈望道翻译并出版《共产党宣言》第一个中文全译本，年底来到复旦任教。,5.png
6,1922,复旦大学部迁址江湾,江湾校区老照片,复旦大学部迁址江湾，中学部留徐家汇原址，称私立复旦大学附属中学。,6.png
7,1927,国立第四中山大学医学院（上医前身）建立,医学院成立照片,国立第四中山大学医学院在上海吴淞建立，为上海医科大学前身。,7.png
8,1937,抗战爆发，复旦内迁重庆北碚,复旦内迁照片,抗战爆发后，复旦大学内迁重庆北碚。,8.png
9,1938,复旦与大夏大学组成联合大学内迁,联合大学内迁照片,复旦大学与大夏大学组成联合大学内迁，最终落脚北碚夏坝。,9.png
10,1958,复旦参与原子弹研制技术,原子弹研制相关照片,复旦组成“58中队”参与原子弹研制技术。,10.png
11,1977,苏步青出任校长，复旦恢复招收本科生,苏步青与复旦照片,苏步青出任校长，复旦恢复招收本科生。,11.png
12,1981,复旦成为全国首批博士、硕士学位授予单位,学位授予相关照片,复旦成为全国首批博士、硕士学位授予单位。,12.png
13,2000,复旦大学与上海医科大学合并,合并仪式照片,复旦大学与上海医科大学强强联合，组建新的复旦大学。,13.png
14,2005,复旦大学隆重庆祝建校一百周年,校庆活动照片,明确建设世界一流水平的社会主义综合性大学目标。,14.png
15,2008,复旦大学师生参与汶川地震救援,汶川救援照片,复旦师生积极参与汶川地震救援和灾后重建，展现社会责任。,15.png
16,2012,复旦大学加入环太平洋大学联盟（APRU）,APRU相关照片,提升复旦在国际高等教育领域的影响力。,16.png
17,2015,复旦大学成立类脑智能科学与技术研究院,类脑研究院照片,推动人工智能和脑科学研究，引领未来科技发展。,17.png
18,2017,复旦大学启动“双一流”建设,双一流建设相关照片,明确建设世界一流大学的目标。,18.png
19,2020,复旦大学附属医院医护人员驰援武汉抗击新冠疫情,医护人员出征照片,复旦人在国家危难时刻展现担当。,19.png
20,2021,复旦大学成立集成电路科学与工程一级学科,集成电路相关照片,响应国家战略需求，培养高端芯片人才。,20.png
21,2024,复旦大学成立多个新工科创新学院,新工科学院照片,涵盖集成电路、智能机器人等多个前沿领域。,21.png
